,x,y
0,-3.4416610798901583,-1.7951536553385803
1,-3.437214985783526,-1.8044546230237017
2,-3.432768891676894,-1.813755590708822
3,-3.4283227975702615,-1.8230565583939433
4,-3.423876703463629,-1.8323575260790648
5,-3.419430609356997,-1.8416584937641851
6,-3.4149845152503646,-1.8509594614493066
7,-3.410538421143732,-1.8602604291344278
8,-3.4060923270371,-1.8695613968195484
9,-3.4016462329304678,-1.8788623645046696
10,-3.3972001388238358,-1.88816333218979
11,-3.3927540447172033,-1.8974642998749114
12,-3.388307950610571,-1.9067652675600326
13,-3.383861856503939,-1.9160662352451532
14,-3.3794157623973065,-1.9253672029302744
15,-3.374969668290674,-1.9346681706153959
16,-3.370523574184042,-1.9439691383005162
17,-3.3660774800774096,-1.9532701059856374
18,-3.361631385970777,-1.962571073670759
19,-3.357185291864145,-1.9718720413558792
20,-3.3527391977575127,-1.9811730090410007
21,-3.3482931036508803,-1.990473976726122
22,-3.3438470095442483,-1.9997749444112425
23,-3.339400915437616,-2.009075912096364
24,-3.3349548213309834,-2.018376879781485
25,-3.3305087272243514,-2.0276778474666055
26,-3.326062633117719,-2.036978815151727
27,-3.321616539011087,-2.046279782836847
28,-3.3171704449044546,-2.0555807505219685
29,-3.312724350797822,-2.06488171820709
30,-3.30827825669119,-2.0741826858922106
31,-3.3038321625845577,-2.0834836535773316
32,-3.2993860684779253,-2.092784621262453
33,-3.2949399743712933,-2.1020855889475736
34,-3.290493880264661,-2.111386556632695
35,-3.2860477861580284,-2.120687524317816
36,-3.2816016920513964,-2.1299884920029366
37,-3.277155597944764,-2.139289459688058
38,-3.2727095038381315,-2.148590427373179
39,-3.2682634097314995,-2.1578913950582996
40,-3.263817315624867,-2.167192362743421
41,-3.2593712215182347,-2.1764933304285425
42,-3.2549251274116027,-2.1857942981136627
43,-3.2504790333049702,-2.195095265798784
44,-3.2460329391983382,-2.2043962334839047
45,-3.241586845091706,-2.213697201169026
46,-3.2371407509850734,-2.222998168854147
47,-3.232694656878441,-2.2322991365392686
48,-3.228248562771809,-2.241600104224389
49,-3.2238024686651765,-2.25090107190951
50,-3.2193563745585445,-2.2602020395946307
51,-3.214910280451912,-2.269503007279752
52,-3.2104641863452796,-2.2788039749648736
53,-3.2060180922386476,-2.2881049426499938
54,-3.201571998132015,-2.297405910335115
55,-3.1971259040253828,-2.3067068780202367
56,-3.1926798099187508,-2.3160078457053572
57,-3.1882337158121183,-2.3253088133904782
58,-3.183787621705486,-2.3346097810755997
59,-3.179341527598854,-2.3439107487607203
60,-3.1748954334922215,-2.3532117164458413
61,-3.1704493393855895,-2.362512684130962
62,-3.166003245278957,-2.3718136518160833
63,-3.1615571511723246,-2.3811146195012043
64,-3.157111057065692,-2.3904155871863257
65,-3.15266496295906,-2.3997165548714463
66,-3.1482188688524277,-2.4090175225565678
67,-3.1437727747457958,-2.418318490241688
68,-3.1393266806391633,-2.425223730628022
69,-3.134880586532531,-2.426358798487137
70,-3.130434492425899,-2.4274938663462517
71,-3.1259883983192664,-2.4286289342053666
72,-3.121542304212634,-2.4297640020644815
73,-3.117096210106002,-2.4308990699235964
74,-3.1126501159993696,-2.4320341377827113
75,-3.108204021892737,-2.4331692056418266
76,-3.103757927786105,-2.4343042735009415
77,-3.0993118336794727,-2.4354393413600564
78,-3.0948657395728403,-2.4365744092191712
79,-3.0904196454662083,-2.437709477078286
80,-3.085973551359576,-2.438844544937401
81,-3.0815274572529434,-2.4399796127965163
82,-3.0770813631463114,-2.441114680655631
83,-3.072635269039679,-2.442249748514746
84,-3.068189174933047,-2.443384816373861
85,-3.0637430808264146,-2.444519884232976
86,-3.059296986719782,-2.4456549520920907
87,-3.05485089261315,-2.4467900199512056
88,-3.0504047985065177,-2.4479250878103205
89,-3.0459587043998853,-2.449060155669436
90,-3.0415126102932533,-2.4501952235285507
91,-3.037066516186621,-2.4513302913876656
92,-3.0326204220799884,-2.4524653592467804
93,-3.0281743279733564,-2.4536004271058953
94,-3.023728233866724,-2.45473549496501
95,-3.0192821397600915,-2.455870562824125
96,-3.0148360456534595,-2.45700563068324
97,-3.010389951546827,-2.4581406985423553
98,-3.0059438574401947,-2.45927576640147
99,-3.0014977633335627,-2.460410834260585
100,-2.9970516692269302,-2.4615459021197
101,-2.9926055751202982,-2.462680969978815
102,-2.988159481013666,-2.4638160378379297
103,-2.9837133869070334,-2.4649511056970446
104,-2.979267292800401,-2.46608617355616
105,-2.974821198693769,-2.4672212414152748
106,-2.9703751045871365,-2.4683563092743896
107,-2.9659290104805045,-2.4694913771335045
108,-2.961482916373872,-2.4906561400705374
109,-2.9570368222672396,-2.520923221728015
110,-2.9525907281606076,-2.5511903033854892
111,-2.948144634053975,-2.5814573850429663
112,-2.9436985399473428,-2.611724466700444
113,-2.9392524458407108,-2.641991548357918
114,-2.9348063517340783,-2.6722586300153957
115,-2.930360257627446,-2.7025257116728727
116,-2.925914163520814,-2.732792793330347
117,-2.9214680694141815,-2.7630598749878246
118,-2.9170219753075495,-2.7933269566452985
119,-2.912575881200917,-2.823594038302776
120,-2.9081297870942846,-2.8538611199602535
121,-2.903683692987652,-2.8841282016177305
122,-2.89923759888102,-2.914395283275205
123,-2.8947915047743877,-2.9446623649326824
124,-2.8903454106677557,-2.9749294465901563
125,-2.8858993165611233,-3.005196528247634
126,-2.881453222454491,-3.0354636099051113
127,-2.877007128347859,-3.0657306915625853
128,-2.8725610342412264,-3.0959977732200628
129,-2.868114940134594,-3.1262648548775402
130,-2.863668846027962,-3.156531936535014
131,-2.8592227519213296,-3.1867990181924917
132,-2.854776657814697,-3.217066099849969
133,-2.850330563708065,-3.247333181507443
134,-2.8458844696014327,-3.2776002631649206
135,-2.8414383754948007,-3.307867344822395
136,-2.8369922813881683,-3.3098862309828143
137,-2.832546187281536,-3.29201095211137
138,-2.8281000931749034,-3.274135673239926
139,-2.8236539990682714,-3.2562603943684834
140,-2.819207904961639,-3.238385115497039
141,-2.814761810855007,-3.220509836625597
142,-2.8103157167483745,-3.202634557754153
143,-2.805869622641742,-3.1847592788827086
144,-2.8014235285351097,-3.1668840000112644
145,-2.7969774344284777,-3.149008721139822
146,-2.7925313403218452,-3.131133442268378
147,-2.7880852462152133,-3.1132581633969356
148,-2.783639152108581,-3.0953828845254914
149,-2.7791930580019484,-3.077507605654047
150,-2.7747469638953164,-3.0596323267826047
151,-2.770300869788684,-3.041757047911161
152,-2.765854775682052,-3.0238817690397184
153,-2.7614086815754195,-3.006006490168274
154,-2.756962587468787,-2.98813121129683
155,-2.7525164933621546,-2.9702559324253857
156,-2.7480703992555227,-2.9523806535539436
157,-2.74362430514889,-2.9345053746824994
158,-2.7391782110422582,-2.968455555889077
159,-2.734732116935626,-3.016173718451841
160,-2.7302860228289934,-3.0638918810146047
161,-2.725839928722361,-3.111610043577369
162,-2.721393834615729,-3.159328206140128
163,-2.7169477405090965,-3.2070463687028923
164,-2.7125016464024645,-3.2547645312656512
165,-2.708055552295832,-3.3024826938284155
166,-2.7036094581891996,-3.3502008563911794
167,-2.6991633640825676,-3.3979190189539388
168,-2.694717269975935,-3.4456371815167026
169,-2.690271175869303,-3.493355344079462
170,-2.6858250817626708,-3.541073506642226
171,-2.6813789876560383,-3.5887916692049897
172,-2.676932893549406,-3.636509831767754
173,-2.672486799442774,-3.684227994330513
174,-2.6680407053361415,-3.7319461568932772
175,-2.6635946112295095,-3.779664319456036
176,-2.659148517122877,-3.754531207352625
177,-2.6547024230162446,-3.727981903047133
178,-2.650256328909612,-3.7014325987416408
179,-2.64581023480298,-3.6748832944361514
180,-2.6413641406963477,-3.648333990130659
181,-2.6369180465897157,-3.6217846858251694
182,-2.6324719524830833,-3.5952353815196774
183,-2.628025858376451,-3.5686860772141853
184,-2.623579764269819,-3.542136772908696
185,-2.6191336701631864,-3.5155874686032034
186,-2.6146875760565544,-3.489038164297714
187,-2.610241481949922,-3.462488859992222
188,-2.6057953878432896,-3.43593955568673
189,-2.601349293736657,-3.4093902513812377
190,-2.596903199630025,-3.3828409470757483
191,-2.5924571055233927,-3.429046161573464
192,-2.5880110114167607,-3.481278788373168
193,-2.5835649173101283,-3.5335114151728777
194,-2.579118823203496,-3.5857440419725872
195,-2.5746727290968634,-3.6379766687722963
196,-2.5702266349902314,-3.6902092955720005
197,-2.565780540883599,-3.74244192237171
198,-2.561334446776967,-3.7946745491714142
199,-2.5568883526703345,-3.8469071759711233
200,-2.552442258563702,-3.899139802770833
201,-2.54799616445707,-3.951372429570537
202,-2.5435500703504377,-4.0036050563702466
203,-2.5391039762438052,-4.055837683169956
204,-2.5346578821371732,-4.037417783903711
205,-2.530211788030541,-4.009376743134103
206,-2.5257656939239084,-3.9813357023644946
207,-2.5213195998172764,-3.953294661594889
208,-2.516873505710644,-3.925253620825281
209,-2.512427411604012,-3.897212580055675
210,-2.5079813174973795,-3.869171539286067
211,-2.503535223390747,-3.841130498516459
212,-2.4990891292841146,-3.8130894577468504
213,-2.4946430351774826,-3.785048416977245
214,-2.49019694107085,-3.757007376207637
215,-2.485750846964218,-3.7494796770924363
216,-2.481304752857586,-3.7761265076450012
217,-2.4768586587509533,-3.802773338197566
218,-2.4724125646443214,-3.8294201687501284
219,-2.467966470537689,-3.8560669993026933
220,-2.4635203764310565,-3.882713829855258
221,-2.4590742823244245,-3.9093606604078204
222,-2.454628188217792,-3.9360074909603853
223,-2.4501820941111596,-3.96265432151295
224,-2.4457360000045276,-3.9893011520655124
225,-2.441289905897895,-4.011617704135645
226,-2.436843811791263,-3.986394452079706
227,-2.4323977176846308,-3.961171200023765
228,-2.4279516235779983,-3.9359479479678234
229,-2.423505529471366,-3.910724695911882
230,-2.419059435364734,-3.885501443855943
231,-2.4146133412581015,-3.8602781918000018
232,-2.4101672471514695,-3.835054939744063
233,-2.405721153044837,-3.809831687688122
234,-2.4012750589382046,-3.7846084356321805
235,-2.396828964831572,-3.795189616401072
236,-2.39238287072494,-3.8162501620631994
237,-2.387936776618308,-3.8373107077253272
238,-2.3834906825116757,-3.858371253387457
239,-2.3790445884050433,-3.8794317990495863
240,-2.374598494298411,-3.900492344711716
241,-2.3701524001917784,-3.921552890373846
242,-2.3657063060851464,-3.9426134360359733
243,-2.3612602119785144,-3.9732674441649576
244,-2.356814117871882,-4.029300663074783
245,-2.3523680237652496,-4.085333881984608
246,-2.347921929658617,-4.141367100894434
247,-2.343475835551985,-4.197400319804253
248,-2.3390297414453527,-4.253433538714079
249,-2.3345836473387207,-4.309466757623899
250,-2.3301375532320883,-4.365499976533725
251,-2.325691459125456,-4.394140659589283
252,-2.3212453650188234,-4.390068421221417
253,-2.3167992709121914,-4.385996182853551
254,-2.3123531768055594,-4.381923944485686
255,-2.307907082698927,-4.377851706117819
256,-2.3034609885922945,-4.373779467749953
257,-2.299014894485662,-4.369707229382087
258,-2.2945688003790297,-4.371965463533035
259,-2.2901227062723977,-4.397082809374098
260,-2.2856766121657657,-4.42220015521516
261,-2.2812305180591332,-4.447317501056225
262,-2.276784423952501,-4.472434846897289
263,-2.2723383298458684,-4.497552192738354
264,-2.2678922357392364,-4.522669538579416
265,-2.263446141632604,-4.508302376185146
266,-2.259000047525972,-4.450755711749348
267,-2.2545539534193395,-4.393209047313546
268,-2.250107859312707,-4.335662382877743
269,-2.2456617652060746,-4.278115718441939
270,-2.2412156710994426,-4.220569054006143
271,-2.2367695769928106,-4.180481043316515
272,-2.232323482886178,-4.223544594093531
273,-2.2278773887795458,-4.266608144870547
274,-2.2234312946729133,-4.3096716956475625
275,-2.218985200566281,-4.3527352464245785
276,-2.214539106459649,-4.39579879720159
